Action ID,Priority,Fix Owner,Fix Owner Confidence,Fix Owner Rationale,Work Type,DS Component,DS Source Path,Needs Component Triage,Issue Summary,WCAG SC,SC Title,WCAG 2.2 Level,Max Impact,Open Occurrences,Fixed Occurrences,Total Occurrences,Apps / Reports Affected,Affected Test Units,Recommended Remediation,Already Fixed in DS Version,CHANGELOG Evidence,Deque Rule ID,Findings Group ID,Issue IDs To Mark Fixed,Auditor Test Run URLs
DS-070,P3,Design System code,High — matched a verified DS capability or rule,Screen-reader containment of a modal is DS-owned: Modal must set aria-modal / inert (or aria-hidden) on background content. Modal.tsx traps Tab focus but that does not stop virtual-cursor browsing outside the dialog.,Partially fixed — finish remaining occurrences,Modal / Sidesheet,"core/components/molecules/modal, core/components/molecules/sidesheet",Yes — pin exact component before fixing,Able to browse outside modal with screen reader,1.3.2,Meaningful Sequence,A,Serious,1,1,3,Innovaccer - User Admin and Help Guide Web Audit,Admin - Secondary Header | How can we improve this article dialog | Own User details page,"Make DOM order match visual reading order; inject dynamically revealed content (menus, popovers, inline messages) immediately after its trigger and keep hidden content out of the reading order with `hidden`/`display:none` rather than visual offsets.",,,reading-order-browse-outside-modal,A11Y-039,"2347679, 2355151, 2355692",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-071,P3,Design System code,High — matched a verified DS capability or rule,Fixed heights / overflow in the component CSS clip re-spaced text.,Fix required,PageHeader,core/components/organisms/pageHeader,No,Text spacing content cut off,1.4.12,Text Spacing,AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Sample Assessments,"Ensure no content is clipped when users override text spacing (line-height 1.5, letter-spacing 0.12em, word-spacing 0.16em, paragraph spacing 2em) — avoid fixed heights and `overflow: hidden` on text containers.",,,text-spacing-cut-off,A11Y-117,2346006,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-072,P3,Design System code,High — matched a verified DS capability or rule,Focus ring and component borders are DS-owned tokens.,Fix required,PlaceholderParagraph,core/components/atoms/placeholderParagraph,No,Graphical object lacks 3 to 1 contrast ratio,1.4.11,Non-text Contrast,AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Case,"Ensure non-text contrast ≥ 3:1 against adjacent colours for focus indicators, active/selected UI-component boundaries, and meaningful icons; use the focus-ring and border tokens rather than hard-coded colours.",,,contrast-graphical-objects-3-1,A11Y-118,2422812,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-073,P3,Design System code,High — matched a verified DS capability or rule,Focus ring and component borders are DS-owned tokens.,Fix required,Popover,core/components/molecules/popover,No,Focus indicator lacks 3 to 1 contrast ratio,1.4.11,Non-text Contrast,AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,My Case details page,"Ensure non-text contrast ≥ 3:1 against adjacent colours for focus indicators, active/selected UI-component boundaries, and meaningful icons; use the focus-ring and border tokens rather than hard-coded colours.",,,contrast-focus-indicator,A11Y-121,2356033,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-074,P3,Design System code,High — matched a verified DS capability or rule,Colour comes from DS tokens (text.module.css has no hard-coded hex); raise the token/component contrast in css/src.,Fix required,Popover,core/components/molecules/popover,No,Text content lacks 4.5:1 contrast ratio,1.4.3,Contrast (Minimum),AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Patients,Raise text contrast to at least 4.5:1 (3:1 for large text) using approved contrast-safe design tokens from `css/src/variables/index.css`; applies to placeholder and in-focus/hover link text too.,,,contrast-text-4.5-1,A11Y-123,2343949,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-075,P3,Design System code,High — matched a verified DS capability or rule,The <ul>/<li> markup is emitted by DS Navigation/Menu components.,Fix required,RichTextEditor,core/components/atoms/editable,No,Visual list is not marked up as list,1.3.1,Info and Relationships,A,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Contact the Patient 1st Call flyout,"Convey structure semantically: real `<ul>/<ol>` with only `<li>` children, `<table>` with `<th scope>` header cells, heading levels in sequential order, and programmatically associated group labels (`<fieldset>/<legend>` or `role=""group""` + `aria-labelledby`).",,,semantic-list,A11Y-126,2340918,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-076,P3,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,RichTextEditor,core/components/atoms/editable,No,Button pressed state is not conveyed,4.1.2,"Name, Role, Value",A,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Contact the Patient 1st Call flyout,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,button-state-pressed,A11Y-127,2340919,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-077,P3,Design System code,High — matched a verified DS capability or rule,"RichTextEditor's controls are built and named by the DS itself (toolbar / nav / sort / close buttons), so their labels are DS-owned rather than app-supplied.",Fix required,RichTextEditor,core/components/atoms/editable,No,Controls have same name but different actions,2.4.6,Headings and Labels,AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Chronic Care Management,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",,,buttons-confusing,A11Y-128,2350797,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-078,P3,Design System code,High — matched a verified DS capability or rule,"RichTextEditor's controls are built and named by the DS itself (toolbar / nav / sort / close buttons), so their labels are DS-owned rather than app-supplied.",Fix required,RichTextEditor,core/components/atoms/editable,No,Programmatic label does not convey purpose of control,2.4.6,Headings and Labels,AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,New Task,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",,,label-programmatic-not-descriptive,A11Y-129,2412009,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-079,P3,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,RichTextEditor,core/components/atoms/editable,No,Selected state of the element is missing or incorrect,4.1.2,"Name, Role, Value",A,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,New Task,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,state-selected-missing-incorrect,A11Y-130,2413964,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-080,P3,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,RichTextEditor,core/components/atoms/editable,No,Expand/collapse state of the element is missing or incorrect,4.1.2,"Name, Role, Value",A,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,New Task,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,state-aria-expanded-missing-incorrect,A11Y-132,2412007,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-081,P3,Design System code,"Low — criterion default, confirm against the component",Defaulting to DS review for WCAG 1.4.13.,Fix required,RichTextEditor,core/components/atoms/editable,No,Additional content not dismissible,1.4.13,Content on Hover or Focus,AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,New Task,Review against WCAG 2.2 1.4.13.,,,content-not-dismissible,A11Y-134,2355860,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-082,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,Label *text* is supplied by the app. DS forwards aria-label/-labelledby already; only the app knows which control is which.,Fix required,Select,core/components/organisms/select,No,Programmatic label does not convey purpose of control,2.4.6,Headings and Labels,AA,Serious,1,0,1,DS audit report,Create User Form,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",,,label-programmatic-not-descriptive,A11Y-135,2354461,https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
DS-083,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,The visible label text is app-supplied; DS already forwards the name.,Fix required,Select,core/components/organisms/select,No,Accessible name does not contain visible label,2.5.3,Label in Name,A,Serious,1,0,1,DS audit report,Create User Form,"Ensure the accessible name contains the visible label text, in the same order, so speech-input users can target the control by name.",,,speech-accessible-name-mismatch,A11Y-136,2354462,https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
DS-084,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,Label *text* is supplied by the app. DS forwards aria-label/-labelledby already; only the app knows which control is which.,Fix required,Select,core/components/organisms/select,No,Controls have same name but different actions,2.4.6,Headings and Labels,AA,Serious,1,0,1,DS audit report,Time Period Form,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",,,buttons-confusing,A11Y-137,2356809,https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
DS-085,P3,Design System code,High — matched a verified DS capability or rule,Colour comes from DS tokens (text.module.css has no hard-coded hex); raise the token/component contrast in css/src.,Fix required,Select,core/components/organisms/select,No,Elements must meet minimum color contrast ratio thresholds,1.4.3,Contrast (Minimum),AA,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,My Case details page,Raise text contrast to at least 4.5:1 (3:1 for large text) using approved contrast-safe design tokens from `css/src/variables/index.css`; applies to placeholder and in-focus/hover link text too.,,,color-contrast,A11Y-138,2352501,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-086,P3,Design System code,High — matched a verified DS capability or rule,Focus ring and component borders are DS-owned tokens.,Fix required,Textarea,core/components/atoms/textarea,No,Active user interface component lacks 3 to 1 contrast ratio,1.4.11,Non-text Contrast,AA,Serious,1,0,1,DS audit report,Stepper Form,"Ensure non-text contrast ≥ 3:1 against adjacent colours for focus indicators, active/selected UI-component boundaries, and meaningful icons; use the focus-ring and border tokens rather than hard-coded colours.",,,contrast-uic-active-3-1,A11Y-145,2356880,https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
DS-087,P3,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,VerticalNav,core/components/organisms/verticalNav,No,Selected state of the element is missing or incorrect,4.1.2,"Name, Role, Value",A,Serious,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Left Navbar,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,state-selected-missing-incorrect,A11Y-147,2419192,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-088,P3,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Partially fixed — finish remaining occurrences,Breadcrumbs,core/components/atoms/breadcrumbs,No,Breadcrumb region is missing appropriate roles and/or attributes,4.1.2,"Name, Role, Value",A,Moderate,1,1,5,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Base Role | Help - DAP - Overview,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",4.22.0,breadcrumbs: enhance accessibility by adding aria-labels and changing div to nav,custom-breadcrumb,A11Y-026,"2340481, 2340837, 2341694, 2345095, 2355396",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-089,P3,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,Button / Link,"core/components/atoms/button, core/components/atoms/link",Yes — pin exact component before fixing,Anchor or button nested inside other anchor or button,4.1.2,"Name, Role, Value",A,Moderate,1,0,1,Innovaccer - User Admin and Help Guide Web Audit,Help - DAP - Overview,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,button-link-nested,A11Y-149,2341689,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-090,P3,Design System code,High — matched a verified DS capability or rule,Colour comes from DS tokens (text.module.css has no hard-coded hex); raise the token/component contrast in css/src.,Fix required,HorizontalNav,core/components/organisms/horizontalNav,No,Control text lacks 4.5:1 contrast ratio on hover or focus,1.4.3,Contrast (Minimum),AA,Moderate,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Edit contact details and preferences' dialog,Raise text contrast to at least 4.5:1 (3:1 for large text) using approved contrast-safe design tokens from `css/src/variables/index.css`; applies to placeholder and in-focus/hover link text too.,,,contrast-link-infocus-4.5-1,A11Y-150,2344221,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-091,P3,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Partially fixed — finish remaining occurrences,Modal / Sidesheet,"core/components/molecules/modal, core/components/molecules/sidesheet",Yes — pin exact component before fixing,Dialog / Alert Dialog: Dialog is missing appropriate role and/or attributes,4.1.2,"Name, Role, Value",A,Moderate,1,1,3,Innovaccer - User Admin and Help Guide Web Audit,Admin - Secondary Header | How can we improve this article dialog | Own User details page,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,custom-dialog,A11Y-041,"2347969, 2353885, 2355683",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-092,P3,App code (DS already exposes the required API),High — matched a verified DS capability or rule,Label *text* is supplied by the app. DS forwards aria-label/-labelledby already; only the app knows which control is which.,Fix required,Popover,core/components/molecules/popover,No,Programmatic label does not convey purpose of control,2.4.6,Headings and Labels,AA,Moderate,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Chronic Care Management,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",,,label-programmatic-not-descriptive,A11Y-152,2350159,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-093,P3,Design System code,High — matched a verified DS capability or rule,"RichTextEditor builds its own internal DOM, so the reading order and screen-reader focus movement inside it are DS-owned.",Fix required,RichTextEditor,core/components/atoms/editable,No,Screen reader focus does not move to intended target,1.3.2,Meaningful Sequence,A,Moderate,1,0,1,Innovaccer - Incare Web Audit MDS issues found,New Task,"Make DOM order match visual reading order; inject dynamically revealed content (menus, popovers, inline messages) immediately after its trigger and keep hidden content out of the reading order with `hidden`/`display:none` rather than visual offsets.",,,focus-not-moved-screen-reader,A11Y-153,2412016,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-094,P3,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Partially fixed — finish remaining occurrences,Tabs,core/components/molecules/tabs,No,Tab widget is missing appropriate roles and/or attributes,4.1.2,"Name, Role, Value",A,Moderate,1,1,3,"Innovaccer - Incare Web Audit MDS issues found, Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",New Task | Own User details page,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,custom-tabs,A11Y-042,"2349650, 2355398, 2356938","https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510"
DS-095,P3,Design System code,Medium — inferred from WCAG criterion + component role,The semantic structure is emitted by the DS component.,Fix required,VerticalNav,core/components/organisms/verticalNav,No,Group of navigation links missing semantics,1.3.1,Info and Relationships,A,Moderate,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Left Navbar,"Convey structure semantically: real `<ul>/<ol>` with only `<li>` children, `<table>` with `<th scope>` header cells, heading levels in sequential order, and programmatically associated group labels (`<fieldset>/<legend>` or `role=""group""` + `aria-labelledby`).",,,semantic-nav,A11Y-154,2344795,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
